public_id,url,name,name_kana,name_romaji,brewery_id,brewery_name,brewery_name_romaji,brewery_url,brewery_website,category,rice,polishing_ratio_pct,abv_pct,sake_meter_value,acidity,yeast,water_source,starter_method,pressing_filtration,pasteurization,milling_tech,has_gas,aroma_type,acidity_type,taste_sweet_dry,taste_acidity,taste_umami,taste_aroma,taste_body,taste_finish,taste_drinkability,volumes_ml,brewery_confirmed_spec,brewery_confirmed_taste,updated_at
59762,https://find-sake.me/sake/59762,Chikuha N Shiro,ちくは えぬ しろ,Chikuha N Shiro,10022,数馬酒造株式会社,Kazuma Shuzo,https://find-sake.me/brewery/10022,https://chikuha.co.jp/,純米,百万石乃白,60,11,-20,,,能登水系,,,,,,B:青リンゴ・レモン系,爽快・リンゴ酸系,1,2,2,4,1,3,5,500,false,false,2026-08-20
35640,https://find-sake.me/sake/35640,Chikuha N Sweet,ちくは えぬ すいーと,Chikuha N Sweet,10022,数馬酒造株式会社,Kazuma Shuzo,https://find-sake.me/brewery/10022,https://chikuha.co.jp/,,五百万石,60,14,,,,能登水系,再醸仕込み,,低アル原酒,,,,重厚・乳酸系,1,3,4,3,4,2,4,720,false,false,2026-08-20
31932,https://find-sake.me/sake/31932,Chikuha N 生,ちくは えぬ なま,Chikuha N Nama,10022,数馬酒造株式会社,Kazuma Shuzo,https://find-sake.me/brewery/10022,https://chikuha.co.jp/,純米,五百万石（能登産100%）,60,17.5,,,,能登水系,,,生酒,,,,,2,2,3,3,4,3,3,300,false,false,2026-08-20
20870,https://find-sake.me/sake/20870,HARUGOKORO アナザーシリーズ 亀の尾グリーンラベル R7BY,はるごころ あなざーしりーず かめのお ぐりーんらべる,HARUGOKORO Another Series Kame-no-o Green Label R7BY,10014,合同会社西出酒造,Nishide Shuzo,https://find-sake.me/brewery/10014,https://nishidesake.com/,,亀の尾（石川県産・契約栽培米）,,15,,,蔵付酵母,蔵の井戸水（軟水・アメリカ硬度15mg/L程度）,速醸,,,,,E:穀物・ふくよか系,中庸・バランス系,3,3,3,2,3,3,4,720,false,false,2026-08-20
1775,https://find-sake.me/sake/1775,is68 百万石乃白 純米大吟醸,あいえす68 ひゃくまんごくのしろ じゅんまいだいぎんじょう,is68 Hyakumangoku-no-shiro Junmai Daiginjo,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,純米大吟醸,百万石乃白,50,15,-3,1.7,,白山水系,,,火入れ,,,,,2,4,5,5,4,3,3,300;720,true,true,2026-08-26
61810,https://find-sake.me/sake/61810,KAGASHIKI,かがしき,Kagashiki,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,純米大吟醸,百万石乃白,40,16,0,1.6,,白山水系,,,火入れ,,,,,3,3,2,5,3,4,4,720,true,true,2026-08-26
4101,https://find-sake.me/sake/4101,KAGA鶴 特別純米,かがつる とくべつじゅんまい,Kaga Tsuru Tokubetsu Junmai,10005,やちや酒造株式会社,Yachiya Shuzo,https://find-sake.me/brewery/10005,http://www.yachiya-sake.co.jp/,特別純米,五百万石,60,15,,,,,,,,,,,中庸・バランス系,4,3,3,2,3,4,4,720,false,false,2026-08-20
53683,https://find-sake.me/sake/53683,KAGA鶴 純米吟醸,かがつる じゅんまいぎんじょう,Kaga Tsuru Junmai Ginjo,10005,やちや酒造株式会社,Yachiya Shuzo,https://find-sake.me/brewery/10005,http://www.yachiya-sake.co.jp/,純米吟醸,百万石乃白,55,15,,,,,,,,,,,,4,3,4,3,3,4,4,300;720,false,false,2026-08-20
13810,https://find-sake.me/sake/13810,Limited Edition NOGUCHI NAOHIKO 01 2019,りみてっど えでぃしょん のぐち なおひこ 01 2019,Limited Edition Noguchi Naohiko 01 2019,10033,農口尚彦研究所,Noguchi Naohiko Sake Institute,https://find-sake.me/brewery/10033,https://noguchi-naohiko.co.jp/,大吟醸,山田錦（兵庫県東条特A地区産）,,18,,,,,,,火入れ,,,D:熟成系,中庸・バランス系,4,3,4,4,4,4,3,770,false,false,2026-08-20
37670,https://find-sake.me/sake/37670,NOGUCHI NAOHIKO 01 Special Edition Vol.2,のぐち なおひこ 01 すぺしゃる えでぃしょん ぼりゅーむ2,Noguchi Naohiko 01 Special Edition Vol.2,10033,農口尚彦研究所,Noguchi Naohiko Sake Institute,https://find-sake.me/brewery/10033,https://noguchi-naohiko.co.jp/,大吟醸,雄町（岡山県産）75%、山田錦（兵庫県東条特A地区産）25%,,18,,,,,古典的山廃,無濾過,火入れ、原酒,,,D:熟成系,重厚・乳酸系,3,4,5,4,5,2,2,770,false,false,2026-08-20
64251,https://find-sake.me/sake/64251,PREMIUM NOUVEAU 無濾過生原酒 2025,ぷれみあむ ぬーぼー むろかなまげんしゅ 2025,Premium Nouveau Muroka Nama Genshu 2025,10033,農口尚彦研究所,Noguchi Naohiko Sake Institute,https://find-sake.me/brewery/10033,https://noguchi-naohiko.co.jp/,,五百万石（北陸産）100%,60,19,,,,,,無濾過,生酒、原酒,,true,B:青リンゴ・レモン系,中庸・バランス系,4,3,3,3,5,5,2,720,false,false,2026-08-20
45520,https://find-sake.me/sake/45520,SEVEN神泉 純米吟醸,せぶんしんせん じゅんまいぎんじょう,Seven Shinsen Junmai Ginjo,10015,東酒造株式会社,Higashi Shuzo,https://find-sake.me/brewery/10015,http://www.sake-sinsen.co.jp/,純米吟醸,山田錦,50,15,,,金沢酵母,白山・手取川水系,,生,生酒,,,A:メロン・白桃系,中庸・バランス系,3,2,4,4,3,4,5,720,true,true,2026-08-20
12460,https://find-sake.me/sake/12460,アラン・デュカス セレクション 純米酒,あらん・でゅかす せれくしょん じゅんまいしゅ,Alain Ducasse Selection Junmaishu,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,純米,神子原米,65,15,-5,1.8,中村酒造オリジナル酵母,白山水系,速醸,,火入れ,,,,中庸・バランス系,3,4,3,2,4,4,4,375;720,true,true,2026-08-26
5000,https://find-sake.me/sake/5000,おれの酒 純米吟醸 Shiro,おれのさけ じゅんまいぎんじょう しろ,Ore no Sake Junmai Ginjo Shiro,10031,日吉酒造店,Hiyoshi Shuzoten,https://find-sake.me/brewery/10031,https://hiyoshisyuzou.com/,純米吟醸,百万石乃白100%（石川県産）,50,16,,,,白山・手取川水系,,,,,,,中庸・バランス系,4,4,3,4,3,4,4,720,false,false,2026-08-30
24337,https://find-sake.me/sake/24337,おれの酒 純米酒 plus,おれのさけ じゅんまいしゅ ぷらす,Ore no Sake Junmaishu plus,10031,日吉酒造店,Hiyoshi Shuzoten,https://find-sake.me/brewery/10031,https://hiyoshisyuzou.com/,純米酒,五百万石100%,60,16,,,,白山・手取川水系,,,,,,E:穀物・ふくよか系,中庸・バランス系,5,3,3,2,3,4,3,720,false,false,2026-08-30
